,title,authors,isbn,publisher,categories,thumbnail
1693,A Kiss Before Dying,Ira Levin/Otto Penzler,0786711647,Carroll & Graf Publishers,Fiction,http://books.google.com/books/content?id=Bihue3zEwx0C&printsec=frontcover&img=1&zoom=1&source=gbs_api
1694,A Kiss Before Dying (Sweet Valley High  #122),Francine Pascal/Kate William,0553566407,Bantam,Juvenile Fiction,http://books.google.com/books/content?id=dPseUDC8IY8C&printsec=frontcover&img=1&zoom=1&source=gbs_api
1695,The City of Falling Angels,John Berendt,0143036939,Penguin Books,History,http://books.google.com/books/content?id=MrW5d7MZCgUC&printsec=frontcover&img=1&zoom=1&source=gbs_api
1696,Falling Angel,William Hjortsberg/Ridley Scott/James Crumley,1933618086,Millipede Press,Fiction,http://books.google.com/books/content?id=Z4OBPwAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
1697,The Collaborator: The Trial and Execution of Robert Brasillach,Alice Kaplan,0226424154,University of Chicago Press,History,http://books.google.com/books/content?id=wyNhPwAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
1698,Chickenhawk: Back in the World Again: Life After Vietnam,Robert Mason,0140158766,Penguin Books,Biography & Autobiography,http://books.google.com/books/content?id=R7cGAAAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
1699,Nuns and Soldiers,Iris Murdoch/Karen Armstrong,0142180092,Penguin Classics,Fiction,http://books.google.com/books/content?id=87neQhbhpG8C&printsec=frontcover&img=1&zoom=1&source=gbs_api
1700,Cliffs Notes on Wiesel's Night,Maryam Riess,0822008939,Cliffs Notes,Literary Criticism,http://books.google.com/books/content?id=sMetBfNx6kMC&printsec=frontcover&img=1&zoom=1&source=gbs_api
1701,Strong Motion,Jonathan Franzen,184115749X,Fourth Estate (GB),Boston (Mass.),http://books.google.com/books/content?id=HS-OchrnnuAC&printsec=frontcover&img=1&zoom=1&source=gbs_api
1702,How to Be Alone,Jonathan Franzen,0007153589,Harper Perennial,Literary Collections,http://books.google.com/books/content?id=ozVWaXd9xvwC&printsec=frontcover&img=1&zoom=1&source=gbs_api
1703,The Twenty-Seventh City,Jonathan Franzen,0312420145,Picador USA,Fiction,http://books.google.com/books/content?id=puFxDk3dTUEC&printsec=frontcover&img=1&zoom=1&source=gbs_api
1704,Second Ring of Power,Carlos Castañeda,0671732471,Washington Square Press,Fiction,http://books.google.com/books/content?id=fPxHEmzBVugC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
1705,The Active Side of Infinity,Carlos Castañeda,006092960X,Harper Perennial,"Body, Mind & Spirit",http://books.google.com/books/content?id=e82-B-6eh7gC&printsec=frontcover&img=1&zoom=1&source=gbs_api
1706,Journey to Ixtlan,Carlos Castañeda,0671732463,Washington Square Press,"Body, Mind & Spirit",http://books.google.com/books/content?id=FK-ce4u0a1QC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
1707,Power of Silence,Carlos Castañeda,067173248X,Washington Square Press,Fiction,http://books.google.com/books/content?id=yWLDWbieTM4C&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
1708,Tales of Power,Carlos Castañeda,0671732528,Washington Square Press,Fiction,http://books.google.com/books/content?id=jiUZLptkQmwC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
1709,Fire from Within,Carlos Castañeda,0671732501,Washington Square Press,"Body, Mind & Spirit",http://books.google.com/books/content?id=yTLsRbts0EQC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
1710,The Art of Dreaming,Carlos Castañeda,1855384272,Element,Dreams,http://books.google.com/books/content?id=h4BElKY-TjAC&printsec=frontcover&img=1&zoom=1&source=gbs_api
1711,Shadow of the Moon (Moon #5),Rebecca York,042520961X,Berkley Sensation,Fiction,http://books.google.com/books/content?id=9EV0CVre_yQC&printsec=frontcover&img=1&zoom=1&source=gbs_api
1712,Black Lamb and Grey Falcon,Rebecca West/Christopher Hitchens,014310490X,Penguin Classics,History,http://books.google.com/books/content?id=Lfe0W6fDwCMC&printsec=frontcover&img=1&zoom=1&source=gbs_api
1713,Operation Shylock: A Confession,Philip Roth,009930791X,Vintage,American literature,http://books.google.com/books/content?id=QiCJsEpVj3MC&printsec=frontcover&img=1&zoom=1&source=gbs_api
1714,Lost in the Funhouse,John Barth,0385240872,Anchor Books,Fiction,http://books.google.com/books/content?id=T3y-OBKPxJsC&printsec=frontcover&img=1&zoom=1&source=gbs_api
1715,CliffsNotes on Faulkner's As I Lay Dying (Cliffs Notes),James Lamar Roberts/William Faulkner/CliffsNotes,0822002108,Cliffs Notes,Literary Criticism,http://books.google.com/books/content?id=l0VRu6X7hkYC&printsec=frontcover&img=1&zoom=1&source=gbs_api
1716,The Aeneid,Virgil/David   West,0140449329,Penguin Books Ltd,Literary Criticism,http://books.google.com/books/content?id=3GwIVFFlnDUC&printsec=frontcover&img=1&zoom=1&source=gbs_api
1717,Aeneid,Virgil/Stanley Lombardo/W. R. Johnson,0872207315,Hackett Publishing Company  Inc.,Aeneas (Legendary character),http://books.google.com/books/content?id=y4rZxwEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
1718,The Castle of Otranto,Horace Walpole,0192834401,Oxford University Press,Fiction,http://books.google.com/books/content?id=juUIspq7CGwC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
1719,Messenger (The Giver  #3),Lois Lowry,0385732538,Ember,Juvenile Fiction,http://books.google.com/books/content?id=0biAXvNaRZUC&printsec=frontcover&img=1&zoom=1&source=gbs_api
1720,Gossamer,Lois Lowry,0618685502,HMH Books for Young Readers,Juvenile Fiction,http://books.google.com/books/content?id=4vJZmAEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
1721,Anastasia on Her Own (Anastasia Krupnik  #5),Lois Lowry,0440402913,Yearling Books,Juvenile Fiction,http://books.google.com/books/content?id=UjlZAAAAYAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
1722,Stay!: Keeper's Story,Lois Lowry/True Kelley,0440415241,Yearling,Juvenile Fiction,http://books.google.com/books/content?id=lr9QzT466ekC&printsec=frontcover&img=1&zoom=1&source=gbs_api
1723,Gathering Blue (The Giver  #2),Lois Lowry,0385732562,Delacorte Press,Juvenile Fiction,http://books.google.com/books/content?id=3oUhi1ZlK6oC&printsec=frontcover&img=1&zoom=1&source=gbs_api
1724,See You Around  Sam! (Sam Krupnik  #3),Lois Lowry/Diane deGroat,0440414008,Yearling,Juvenile Fiction,http://books.google.com/books/content?id=-oXbxSdpe2wC&printsec=frontcover&img=1&zoom=1&source=gbs_api
1725,King Lear,William Shakespeare/Roma Gill,019832054X,Oxford University Press,Juvenile Nonfiction,http://books.google.com/books/content?id=Pye7uOhQXwoC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
1726,The Turn of the Screw (Norton Critical Edition),Henry James/Deborah Esch/Jonathan Warren,039395904X,W. W. Norton & Co.,Fiction,http://books.google.com/books/content?id=nMixvwEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
1727,The Turn of the Screw and The Aspern Papers,Henry James/Anthony Curtis,0141439904,Penguin Books,Fiction,http://books.google.com/books/content?id=L3gTbMLsoKcC&printsec=frontcover&img=1&zoom=1&source=gbs_api
1728,Tempest (Star Wars: Legacy of the Force  #3),Troy Denning,0345477529,Del Rey,Fiction,http://books.google.com/books/content?id=ag7TCwAAQBAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
1729,Hamlet  The Texts of 1603 and 1623,William Shakespeare/Neil Taylor,1904271553,Bloomsbury Arden Shakespeare,Drama,http://books.google.com/books/content?id=rGFlAAAAMAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
1730,Hamlet's Dresser: A Memoir,Bob      Smith,0684852705,Scribner,Biography & Autobiography,http://books.google.com/books/content?id=KZxn1zPfQEsC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
1731,The Hamlet,William Faulkner,0679736530,Vintage International,Fiction,http://books.google.com/books/content?id=1lIMRpyDihMC&printsec=frontcover&img=1&zoom=1&source=gbs_api
1732,Othello,William Shakespeare,0743477553,Simon  Schuster,Drama,http://books.google.com/books/content?id=f4zGDgAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
1733,Julius Caesar,William Shakespeare/Roma Gill,0198320272,Oxford University Press  USA,Juvenile Nonfiction,http://books.google.com/books/content?id=NlmkhO3vZQ4C&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
1734,Cliffsnotes on Shakespeare's Henry IV  Part 1,James K. Lowers/William Shakespeare/CliffsNotes,0822000237,Cliffs Notes,Literary Criticism,http://books.google.com/books/content?id=1r0_xgEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
1735,King Henry IV  Part 1,William Shakespeare/David Scott Kastan,1904271359,Bloomsbury Arden Shakespeare,Drama,http://books.google.com/books/content?id=7ioeGdWEpP8C&printsec=frontcover&img=1&zoom=1&source=gbs_api
1736,Alice In Wonderland,Lewis Carroll/John Tenniel,0439291496,Scholastic Paperbacks,Juvenile Fiction,http://books.google.com/books/content?id=G6COQfzW08QC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
1737,Justine (The Alexandria Quartet #1),Lawrence Durrell,0140153195,Penguin Books,Fiction,http://books.google.com/books/content?id=zuK-PBDV50QC&printsec=frontcover&img=1&zoom=1&source=gbs_api
1738,Clea (The Alexandria Quartet #4),Lawrence Durrell,0140153225,Penguin Books,Fiction,http://books.google.com/books/content?id=ok_gyOGqlYwC&printsec=frontcover&img=1&zoom=1&source=gbs_api
1739,Kate Vaiden,Reynolds Price,0684846942,Scribner,Fiction,http://books.google.com/books/content?id=13k-lQEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
1740,Naked Came the Manatee,Carl Hiaasen/Elmore Leonard/Dave Barry/James W. Hall/Edna Buchanan/Les Standiford/Paul Levine/Brian Antoni/Tananarive Due/John Dufresne/Vicki Hendricks/Carolina Hospital/Evelyn Mayerson,0449001245,Ballantine Books,Fiction,http://books.google.com/books/content?id=2QYdvjKMQy8C&printsec=frontcover&img=1&zoom=1&source=gbs_api
1741,Strip Tease,Carl Hiaasen,044669567X,Grand Central Publishing,Fiction,http://books.google.com/books/content?id=iuAQPwAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
1742,Hoot,Carl Hiaasen,0440421705,Yearling Books,Bullying,http://books.google.com/books/content?id=uKUTodG0ltIC&printsec=frontcover&img=1&zoom=1&source=gbs_api
1743,Suburban Nation: The Rise of Sprawl and the Decline of the American Dream,Andrés Duany/Elizabeth Plater-Zyberk/Jeff Speck,0865476063,North Point Press,Architecture,http://books.google.com/books/content?id=UZ0-0X4aiwQC&printsec=frontcover&img=1&zoom=1&source=gbs_api
1744,The Bible Cure For Diabetes,Don Colbert,0884196488,Siloam,Health & Fitness,http://books.google.com/books/content?id=EGdyyerhYe8C&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
1745,Zen and the Art of Motorcycle Maintenance: An Inquiry Into Values,Robert M. Pirsig,0688052304,Quill,Essentialism (Philosophy),http://books.google.com/books/content?id=jOGwxwEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
1746,The Dark Side Of Genius: The Life Of Alfred Hitchcock,Donald Spoto,030680932X,Da Capo Press,Performing Arts,http://books.google.com/books/content?id=2FpPtAEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
1747,Marilyn Monroe: The Biography,Donald Spoto,0815411839,Cooper Square Publishers,Biography & Autobiography,http://books.google.com/books/content?id=r2W9SGUyRmgC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
1748,Season of the Machete,James Patterson,0446600474,Vision,Fiction,http://books.google.com/books/content?id=A2NHngEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
1749,The Angel Experiment (Maximum Ride  #1),James Patterson,0446617792,Grand Central Publishing,Fiction,http://books.google.com/books/content?id=s2sZyAEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
1750,Miracle on the 17th Green (Travis McKinley  #1),James Patterson/Peter de Jonge,0316693359,Little Brown and Company,Fiction,http://books.google.com/books/content?id=gmkUPZQ-Q80C&printsec=frontcover&img=1&zoom=1&source=gbs_api
1751,When the Wind Blows (When the Wind Blows  #1),James Patterson,0446676438,Grand Central Publishing,Fiction,http://books.google.com/books/content?id=BUQ9PgAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
1752,SantaKid,James Patterson/Michael Garland,0316000612,Jimmy Patterson,Juvenile Fiction,http://books.google.com/books/content?id=2d9FvgAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
1753,A Little Prairie House,Laura Ingalls Wilder/Renée Graef,0064435261,HarperCollins,Juvenile Fiction,http://books.google.com/books/content?id=pRSju95iidoC&printsec=frontcover&img=1&zoom=1&source=gbs_api
1754,Private Parts,Howard Stern,0671009443,Pocket Books,Biography & Autobiography,http://books.google.com/books/content?id=LTJFsGNJwyYC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
1755,The Private Parts of Women,Lesley Glaister,0747526036,Bloomsbury Publishing PLC,English fiction,http://books.google.com/books/content?id=ZW6-AAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
1756,Quiver,Stephanie Spinner,0440238196,Laurel-Leaf Books,Juvenile Fiction,http://books.google.com/books/content?id=AScIYkRgQ1AC&printsec=frontcover&img=1&zoom=1&source=gbs_api
1757,A Quiver Full of Arrows,Jeffrey Archer,0312937695,St. Martin's Paperbacks,Fiction,http://books.google.com/books/content?id=KijMxDuhGwwC&printsec=frontcover&img=1&zoom=1&source=gbs_api
1758,The Collected Autobiographies of Maya Angelou,Maya Angelou,0679643257,Modern Library,Biography & Autobiography,http://books.google.com/books/content?id=jHlC1bp5cB8C&printsec=frontcover&img=1&zoom=1&source=gbs_api
1759,Dreaming in Pictures: The Photography,Lewis Carroll/Douglas R. Nickel,0300091699,Yale University Press,Photography,http://books.google.com/books/content?id=Jpnz4lJZrlcC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
1760,Lewis Carroll's Jabberwocky: A Book of Brillig Dioramas,Lewis Carroll/Graeme Base,0810935201,Harry N. Abrams,Juvenile Nonfiction,http://books.google.com/books/content?id=tyMFAAAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
1761,Name Dropping,Jane Heller,0312978332,St. Martin's Press,Fiction,http://books.google.com/books/content?id=ElhF-a6l4TMC&printsec=frontcover&img=1&zoom=1&source=gbs_api
1762,Many Luscious Lollipops: A Book About Adjectives,Ruth Heller,0698116410,Puffin Books,Juvenile Nonfiction,http://books.google.com/books/content?id=1jgyPwAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
1763,What Was She Thinking? [Notes on a Scandal],Zoë Heller,0312421990,Picador,Fiction,http://books.google.com/books/content?id=TWviK9mhCH8C&printsec=frontcover&img=1&zoom=1&source=gbs_api
1764,Night of Long Shadows (Eberron: Inquisitives  #2),Paul Crilley,0786942703,Wizards of the Coast,Fiction,http://books.google.com/books/content?id=cITjAAAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
1765,Poetics,Aristotle/Malcolm Heath,0140446362,Penguin Classics,Literary Criticism,http://books.google.com/books/content?id=FECr16HHxW4C&printsec=frontcover&img=1&zoom=1&source=gbs_api
1766,Sabriel (Abhorsen  #1),Garth Nix,0060575816,Eos,Fiction,http://books.google.com/books/content?id=ugSPY6Gi_Y4C&printsec=frontcover&img=1&zoom=1&source=gbs_api
1767,Euripides 3: Alcestis/Daughters of Troy/The Phoenician Women/Iphigenia at Aulis/Rhesus,Euripides/David R. Slavitt/Smith Palmer Bovie/Fred Chappell/Mark Rudman/Elaine Terranova/Richard Elman/Katharine Washburn/George D. Economou,0812216504,University of Pennsylvania Press,Drama,http://books.google.com/books/content?id=sFifVDQAJOUC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
1768,A Lady At Last (deWarenne Dynasty  #7),Brenda Joyce,0373771371,Hqn,Fiction,http://books.google.com/books/content?id=tV7SDKSeteIC&printsec=frontcover&img=1&zoom=1&source=gbs_api
1769,A Complicated Kindness,Miriam Toews,1582433224,Counterpoint LLC,Fiction,http://books.google.com/books/content?id=Vy6CtWqR1aoC&printsec=frontcover&img=1&zoom=1&source=gbs_api
1770,Race of Scorpions (The House of Niccolo  #3),Dorothy Dunnett,039457107X,Knopf,Fiction,http://books.google.com/books/content?id=Z2ErAAAAYAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
1771,Vinyl Cafe Diaries (Vinyl Cafe  #4),Stuart McLean,0670044369,Penguin Books Canada,Canada,http://books.google.com/books/content?id=lNAdAAAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
1772,Checkmate (Tom Clancy's Splinter Cell  #3),David  Michaels/Tom Clancy,0425212785,Berkley,Fiction,http://books.google.com/books/content?id=YG47TxhM8SkC&printsec=frontcover&img=1&zoom=1&source=gbs_api
1773,Splinter Cell (Tom Clancy's Splinter Cell  #1),David  Michaels/Raymond Benson/Tom Clancy,0425201686,Berkley,Fiction,http://books.google.com/books/content?id=cLqKDQAAQBAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
1774,Dark Visions,Douglas E. Winter/Dan Simmons/Stephen King/George R.R. Martin,0575402903,Indigo,"Horror tales, American",http://books.google.com/books/content?id=qpJoGwAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
1775,Ancilla to the Pre-Socratic Philosophers,Kathleen Banks Freeman/Hermann Alexander Diels,0674035011,Harvard University Press (Cambridge),Philosophy,http://books.google.com/books/content?id=B75GgVdxYT0C&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
1776,The Presocratics,Philip Ellis Wheelwright,002426640X,Prentice Hall/Library of Liberal Arts,Philosophy,http://books.google.com/books/content?id=V45eMgEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
1777,The Presocratic Philosophers,Geoffrey S. Kirk/John Earle Raven/Malcolm Schofield,0521274559,Cambridge University Press,Philosophy,http://books.google.com/books/content?id=kFpd86J8PLsC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
1778,Presocratic Philosophy: A Very Short Introduction,Catherine Osborne,0192840940,Oxford University Press  USA,Philosophy,http://books.google.com/books/content?id=F-oRDAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
1779,The First Philosophers: The Presocratics and Sophists,Robin Waterfield/Anaximander/Anaximenes/Empedocles/Gorgias of Leontini/Heraclitus/Parmenides/Protagoras/Pythagoras/Thales/Thrasymachus/Zeno of Elea,0192824546,Oxford University Press,Philosophy,http://books.google.com/books/content?id=fiDWoqLUW9AC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
1780,Skeleton Crew,Stephen King,0751504386,Warner Books,English fiction,http://books.google.com/books/content?id=WcrCQgAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
1781,Think on These Things,Jiddu Krishnamurti/D. Rajagopal,0060916095,HarperOne,Religion,http://books.google.com/books/content?id=QzzbmAEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
1782,How to Think Theologically,Howard W. Stone/James O. Duke,0800638182,Fortress Press,Religion,http://books.google.com/books/content?id=yjnCwAEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
1783,JoJo's Bizarre Adventure  Vol. 5 (Stardust Crusaders  #5),Hirohiko Araki,1421506548,VIZ Media,Comics & Graphic Novels,http://books.google.com/books/content?id=BT7DugEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
1784,Tuf Voyaging,George R.R. Martin,1592220045,Meisha Merlin Publishing,Fiction,http://books.google.com/books/content?id=OoUCAAAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
1785,Jack of Kinrowan: Jack the Giant-Killer / Drink Down the Moon,Charles de Lint,0312869592,St. Martins Press,Fiction,http://books.google.com/books/content?id=FcODdbHfSbgC&printsec=frontcover&img=1&zoom=1&source=gbs_api
1786,Lies My Teacher Told Me: Everything Your History Textbook Got Wrong,James W. Loewen,156584100X,The New Press,Education,http://books.google.com/books/content?id=dW6noU_dumQC&printsec=frontcover&img=1&zoom=1&source=gbs_api
1787,Lies My Teacher Told Me about Christopher Columbus: What Your History Books Got Wrong,James W. Loewen,1565840089,New Press,Education,http://books.google.com/books/content?id=8ZDWHQAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
1788,C.G. Jung and Hermann Hesse: A Book of Two Friendships,Miguel Serrano,3856305580,Daimon Verlag,Psychology,http://books.google.com/books/content?id=sQt8bd6wFr0C&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
1789,The Journey to the East,Hermann Hesse/Hilda Rosner,0312421680,Picador,Fiction,http://books.google.com/books/content?id=-cjM9WChgEcC&printsec=frontcover&img=1&zoom=1&source=gbs_api
1790,Son of a Witch (The Wicked Years  #2),Gregory Maguire/Douglas Smith/Jelena Bojić,0060747226,William Morrow Paperbacks,Fiction,http://books.google.com/books/content?id=5-3f3naMQ6QC&printsec=frontcover&img=1&zoom=1&source=gbs_api
1791,March,Geraldine Brooks,0143036661,Penguin,Fiction,http://books.google.com/books/content?id=-pOd81IGgmUC&printsec=frontcover&img=1&zoom=1&source=gbs_api
1792,From Far Away  Vol. 14,Kyoko Hikawa/Yuko Sawada/Freeman Wong,142150541X,VIZ Media,Comics & Graphic Novels,http://books.google.com/books/content?id=9zyolwEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
1793,Vagabond  Volume 20,Takehiko Inoue,1591165830,VIZ Media LLC,Comics & Graphic Novels,http://books.google.com/books/content?id=e1TOxgEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
1794,Hikaru no Go  Vol. 8: The Pro Test Preliminaries: Day Four (Hikaru no Go  #8),Yumi Hotta/Takeshi Obata,1421506424,VIZ Media LLC,Comics & Graphic Novels,http://books.google.com/books/content?id=uDnAnas3BBgC&printsec=frontcover&img=1&zoom=1&source=gbs_api
1795,Death Note  Vol. 8: Target (Death Note  #8),Tsugumi Ohba/Takeshi Obata/Tetsuichiro Miyaki,1421506297,VIZ Media LLC,Comics & Graphic Novels,http://books.google.com/books/content?id=-opLtgEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
1796,The Worm Ouroboros,E.R. Eddison/Keith   Henderson,0486447405,Dover Publications,Fiction,http://books.google.com/books/content?id=qh_y0A1QwiMC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
1797,Museum of Terror  Vol. 1: Tomie 1,Junji Ito/伊藤潤二/Naomi Kokubo,1593075421,Dark Horse Comics,Comics & Graphic Novels,http://books.google.com/books/content?id=9XRQAAAAMAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
1798,Museum of Terror  Vol. 2: Tomie 2,Junji Ito/伊藤潤二/Naomi Kokubo,1593076126,Dark Horse Manga,Comics & Graphic Novels,http://books.google.com/books/content?id=bXVQAAAAMAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
1799,Tomie 1  富江,Junji Ito/伊藤潤二,1588990842,ComicsOne Corporation,Comics & Graphic Novels,http://books.google.com/books/content?id=2YM9PwAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
1800,Voices (Annals of the Western Shore  #2),Ursula K. Le Guin,0152056785,Harcourt,Juvenile Fiction,http://books.google.com/books/content?id=KcGWrlJYOC0C&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
1801,Gifts (Annals of the Western Shore  #1),Ursula K. Le Guin,0152051244,Harcourt,Juvenile Fiction,http://books.google.com/books/content?id=HcAhvgAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
1802,Lao Tzu: Tao Te Ching: A Book about the Way and the Power of the Way,Lao Tzu/Ursula K. Le Guin/J.P. Seaton,1570623953,Shambhala,Philosophy,http://books.google.com/books/content?id=c4X6xAEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
1803,The Wave in the Mind: Talks and Essays on the Writer  the Reader and the Imagination,Ursula K. Le Guin,1590300068,Shambhala,Literary Collections,http://books.google.com/books/content?id=YAdTofRMkvEC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
1804,The Tombs of Atuan (Earthsea Cycle  #2),Ursula K. Le Guin/Margot Paronis,0689845367,Gallery / Saga Press,Fiction,http://books.google.com/books/content?id=Y8e_DwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
1805,Catwings (Catwings #1),Ursula K. Le Guin/S.D. Schindler,0439551897,Orchard Books,Juvenile Fiction,http://books.google.com/books/content?id=L2wXJR1wWMgC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
1806,The Farthest Shore (Earthsea Cycle  #3),Ursula K. Le Guin,141650964X,Gallery Books,Fiction,http://books.google.com/books/content?id=DhjM7kxbrLAC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
1807,The Life and Games of Mikhail Tal,Mikhail Tal/Iakov Damsky/Kenneth P. Neat,1857442024,Everyman Chess,Biography & Autobiography,http://books.google.com/books/content?id=tkt9QgAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
1808,Tal-Botvinnik 1960,Mikhail Tal/Hanon W. Russell,1888690089,Russell Enterprises,Games,http://books.google.com/books/content?id=PtDUMQEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
1809,Don Quixote,Miguel de Cervantes Saavedra/John Rutherford,0140449094,Penguin Books,Fiction,http://books.google.com/books/content?id=kHq_PcQhhyUC&printsec=frontcover&img=1&zoom=1&source=gbs_api
1810,Bleach  Volume 19,Tite Kubo,142151043X,VIZ Media LLC,Comics & Graphic Novels,http://books.google.com/books/content?id=OGAebm56uGMC&printsec=frontcover&img=1&zoom=1&source=gbs_api
1811,The Twelve Kingdoms: Sea of Shadow (The Twelve Kingdoms  #1),Fuyumi Ono/小野 不由美/Akihiro Yamada/山田 章博/Elye J. Alexander/Alexander O. Smith,1598169467,TokyoPop,Comics & Graphic Novels,http://books.google.com/books/content?id=8rr6yAEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
1812,Crest of the Stars 2: A Modest War  (Seikai no Monshou  #2),Hiroyuki Morioka,1598165763,TokyoPop,Comics & Graphic Novels,http://books.google.com/books/content?id=zIhbAAAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
1813,Crest of the Stars 3: Return to a Strange World  (Seikai no Monshou  #3),Hiroyuki Morioka,1598165771,TokyoPop,Comics & Graphic Novels,http://books.google.com/books/content?id=xBVmAAAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
1814,Julie and Julia: My Year of Cooking Dangerously,Julie Powell,0316013269,Back Bay Books,Biography & Autobiography,http://books.google.com/books/content?id=KdoZHAAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
1815,Tramps Like Us  Volume 12,Yayoi Ogawa,1598161997,TokyoPop,Comics & Graphic Novels,http://books.google.com/books/content?id=-aqNAAAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
1816,Suki's Kimono,Chieri Uegaki/Stéphane Jorisch,1553377524,Kids Can Press,Juvenile Fiction,http://books.google.com/books/content?id=EorigOkjLdoC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
1817,The Interpreter,Suki Kim,0312422245,St. Martins Press,Fiction,http://books.google.com/books/content?id=pPNsEPSMb68C&printsec=frontcover&img=1&zoom=1&source=gbs_api
1818,Flight of the Nighthawks (The Darkwar Saga  #1),Raymond E. Feist,0060792787,Harper Voyager,Fiction,http://books.google.com/books/content?id=cMRnRK9KE9wC&printsec=frontcover&img=1&zoom=1&source=gbs_api
